company_name,sector,quarter,year,revenue_m,operating_profit_m,net_income_m
InnoCode Ltd,TECHNOLOGY,Q2,2022,264.45,24.42,18.6
QuantumSoft,TECHNOLOGY,Q2,2022,416.32,37.56,26.05
MedCore Group,HEALTHCARE,Q2,2022,547.6,98.55,72.08
LifeSciences Ltd,HEALTHCARE,Q2,2022,311.2,23.09,15.41
BioTech Corp,HEALTHCARE,Q2,2022,222.35,37.28,24.94
PharmaNet Inc,HEALTHCARE,Q2,2022,164.01,10.53,8.31
HealthFirst,HEALTHCARE,Q2,2022,168.33,38.9,33.37
CapitalOne Ventures,FINANCE,Q2,2022,90.07,8.79,7.04
Sterling Bank,FINANCE,Q2,2022,161.05,12.31,10.84
PrimeAsset Mgmt,FINANCE,Q2,2022,337.67,48.8,40.77
EquityPath Corp,FINANCE,Q2,2022,454.71,40.05,25.19
FundGrow Ltd,FINANCE,Q2,2022,268.37,36.15,26.75
SolarVast Inc,ENERGY,Q2,2022,415.89,76.8,68.76
GreenPower Corp,ENERGY,Q2,2022,103.72,13.54,9.5
OilField Partners,ENERGY,Q2,2022,481.53,48.02,31.55
WindHarvest Ltd,ENERGY,Q2,2022,277.06,37.23,25.45
FuelCore Group,ENERGY,Q2,2022,178.65,41.92,30.72
ShopNation Inc,RETAIL,Q2,2022,481.37,77.05,47.4
MarketPlace Corp,RETAIL,Q2,2022,549.64,119.38,106.33
TrendLine Retail,RETAIL,Q2,2022,513.55,112.85,73.34
ValueStore Ltd,RETAIL,Q2,2022,295.39,27.4,19.74
QuickBuy Group,RETAIL,Q2,2022,84.02,10.57,9.47
SteelBridge Corp,MANUFACTURING,Q2,2022,186.28,38.53,28.38
ProduceMaster Ltd,MANUFACTURING,Q2,2022,264.39,63.84,57.37
AutoParts Inc,MANUFACTURING,Q2,2022,330.11,63.94,41.33
BuildRight Group,MANUFACTURING,Q2,2022,201.87,49.2,38.07
PrecisionMfg,MANUFACTURING,Q2,2022,323.39,64.55,39.84
AquaCity Water,UTILITIES,Q2,2022,344.17,51.82,44.35
PowerGrid Corp,UTILITIES,Q2,2022,132.93,32.19,20.09
GasNet Utilities,UTILITIES,Q2,2022,146.98,24.84,19.94
CleanEnergy Ltd,UTILITIES,Q2,2022,171.43,12.68,10.99
CityServices Inc,UTILITIES,Q2,2022,176.88,29.88,23.48
Swift Logistics,TRANSPORTATION,Q3,2022,238.65,39.79,30.11
GlobalShip Co,TRANSPORTATION,Q3,2022,470.62,42.76,34.84
AirFreight Inc,TRANSPORTATION,Q3,2022,157.41,20.33,16.29
RailLink Corp,TRANSPORTATION,Q3,2022,185.0,20.95,17.3
OceanTrade Ltd,TRANSPORTATION,Q3,2022,82.64,11.71,10.53
NexaTech,TECHNOLOGY,Q3,2022,498.24,32.21,21.39
CloudPeak Systems,TECHNOLOGY,Q3,2022,169.34,40.07,34.63
DataBridge Corp,TECHNOLOGY,Q3,2022,445.67,55.22,35.75
InnoCode Ltd,TECHNOLOGY,Q3,2022,425.19,81.09,63.53
QuantumSoft,TECHNOLOGY,Q3,2022,494.25,89.36,53.83
MedCore Group,HEALTHCARE,Q3,2022,417.7,45.9,36.67
LifeSciences Ltd,HEALTHCARE,Q3,2022,472.52,36.32,23.05
BioTech Corp,HEALTHCARE,Q3,2022,98.17,15.77,10.75
PharmaNet Inc,HEALTHCARE,Q3,2022,322.17,62.35,41.22
HealthFirst,HEALTHCARE,Q3,2022,335.41,34.48,25.74
CapitalOne Ventures,FINANCE,Q3,2022,457.4,100.27,62.94
Sterling Bank,FINANCE,Q3,2022,240.61,25.34,15.23
PrimeAsset Mgmt,FINANCE,Q3,2022,397.0,70.44,47.8
EquityPath Corp,FINANCE,Q3,2022,383.55,61.5,44.79
FundGrow Ltd,FINANCE,Q3,2022,54.35,3.54,3.06
SolarVast Inc,ENERGY,Q3,2022,456.77,72.68,61.81
GreenPower Corp,ENERGY,Q3,2022,312.13,24.85,15.86
OilField Partners,ENERGY,Q3,2022,188.72,43.37,36.38
WindHarvest Ltd,ENERGY,Q3,2022,437.32,100.49,66.63
FuelCore Group,ENERGY,Q3,2022,162.29,11.45,9.55
ShopNation Inc,RETAIL,Q3,2022,447.86,58.79,46.22
MarketPlace Corp,RETAIL,Q3,2022,119.55,28.21,24.24
TrendLine Retail,RETAIL,Q3,2022,489.29,103.8,89.73
ValueStore Ltd,RETAIL,Q3,2022,61.15,12.07,8.44
QuickBuy Group,RETAIL,Q3,2022,468.87,98.67,84.78
SteelBridge Corp,MANUFACTURING,Q3,2022,414.84,42.88,35.86
ProduceMaster Ltd,MANUFACTURING,Q3,2022,98.64,22.14,18.99
AutoParts Inc,MANUFACTURING,Q3,2022,150.1,32.02,23.63
BuildRight Group,MANUFACTURING,Q3,2022,187.34,39.17,26.18
PrecisionMfg,MANUFACTURING,Q3,2022,60.65,5.38,3.76
AquaCity Water,UTILITIES,Q3,2022,438.96,106.83,73.04
PowerGrid Corp,UTILITIES,Q3,2022,338.67,44.01,39.36
GasNet Utilities,UTILITIES,Q3,2022,291.3,69.28,43.97
CleanEnergy Ltd,UTILITIES,Q3,2022,486.68,41.72,37.08
CityServices Inc,UTILITIES,Q3,2022,169.46,12.15,8.87
Swift Logistics,TRANSPORTATION,Q4,2022,340.06,38.34,29.98
GlobalShip Co,TRANSPORTATION,Q4,2022,252.13,32.03,24.76
AirFreight Inc,TRANSPORTATION,Q4,2022,148.16,28.41,17.06
RailLink Corp,TRANSPORTATION,Q4,2022,419.86,66.21,54.02
OceanTrade Ltd,TRANSPORTATION,Q4,2022,345.49,63.61,45.12
NexaTech,TECHNOLOGY,Q4,2022,73.34,13.41,9.37
CloudPeak Systems,TECHNOLOGY,Q4,2022,172.14,37.8,30.84
DataBridge Corp,TECHNOLOGY,Q4,2022,166.63,18.64,13.47
InnoCode Ltd,TECHNOLOGY,Q4,2022,207.97,22.7,14.49
QuantumSoft,TECHNOLOGY,Q4,2022,215.28,51.25,41.16
MedCore Group,HEALTHCARE,Q4,2022,410.64,71.08,49.07
LifeSciences Ltd,HEALTHCARE,Q4,2022,266.91,13.37,9.17
BioTech Corp,HEALTHCARE,Q4,2022,219.1,36.37,28.97
PharmaNet Inc,HEALTHCARE,Q4,2022,233.32,32.3,21.45
HealthFirst,HEALTHCARE,Q4,2022,236.64,54.48,45.7
CapitalOne Ventures,FINANCE,Q4,2022,113.73,7.62,5.75
Sterling Bank,FINANCE,Q4,2022,301.34,35.27,29.82
PrimeAsset Mgmt,FINANCE,Q4,2022,349.21,64.45,43.01
EquityPath Corp,FINANCE,Q4,2022,125.65,6.9,4.65
FundGrow Ltd,FINANCE,Q4,2022,237.43,52.22,32.47
SolarVast Inc,ENERGY,Q4,2022,212.85,37.45,24.65
GreenPower Corp,ENERGY,Q4,2022,327.02,48.69,32.78
OilField Partners,ENERGY,Q4,2022,310.7,15.88,13.11
WindHarvest Ltd,ENERGY,Q4,2022,356.87,25.45,18.52
FuelCore Group,ENERGY,Q4,2022,116.23,28.08,21.21
ShopNation Inc,RETAIL,Q4,2022,65.34,6.52,5.57
MarketPlace Corp,RETAIL,Q4,2022,229.87,48.34,38.69
TrendLine Retail,RETAIL,Q4,2022,445.1,75.26,66.61
ValueStore Ltd,RETAIL,Q4,2022,406.03,70.05,57.15
QuickBuy Group,RETAIL,Q4,2022,249.44,53.91,41.21
SteelBridge Corp,MANUFACTURING,Q4,2022,408.37,81.16,60.25
ProduceMaster Ltd,MANUFACTURING,Q4,2022,149.97,14.91,11.8
AutoParts Inc,MANUFACTURING,Q4,2022,355.15,54.79,43.18
BuildRight Group,MANUFACTURING,Q4,2022,156.21,10.23,7.01
PrecisionMfg,MANUFACTURING,Q4,2022,155.04,17.67,13.47
AquaCity Water,UTILITIES,Q4,2022,101.04,9.73,7.86
PowerGrid Corp,UTILITIES,Q4,2022,331.1,20.81,15.03
GasNet Utilities,UTILITIES,Q4,2022,264.76,35.25,23.34
CleanEnergy Ltd,UTILITIES,Q4,2022,215.16,49.7,38.53
CityServices Inc,UTILITIES,Q4,2022,326.69,72.31,59.99
Swift Logistics,TRANSPORTATION,Q1,2023,221.17,11.32,7.99
GlobalShip Co,TRANSPORTATION,Q1,2023,389.06,85.86,76.07
AirFreight Inc,TRANSPORTATION,Q1,2023,238.56,47.59,36.35
RailLink Corp,TRANSPORTATION,Q1,2023,321.46,30.25,20.14
OceanTrade Ltd,TRANSPORTATION,Q1,2023,246.13,13.74,9.63
NexaTech,TECHNOLOGY,Q1,2023,355.61,46.54,30.23
CloudPeak Systems,TECHNOLOGY,Q1,2023,260.33,19.66,15.47
DataBridge Corp,TECHNOLOGY,Q1,2023,62.13,8.0,6.15
InnoCode Ltd,TECHNOLOGY,Q1,2023,62.2,11.11,7.12
QuantumSoft,TECHNOLOGY,Q1,2023,257.76,15.48,11.05
MedCore Group,HEALTHCARE,Q1,2023,145.25,16.76,13.88
LifeSciences Ltd,HEALTHCARE,Q1,2023,220.61,44.21,37.56
BioTech Corp,HEALTHCARE,Q1,2023,163.52,10.85,6.57
PharmaNet Inc,HEALTHCARE,Q1,2023,292.74,73.18,51.59
HealthFirst,HEALTHCARE,Q1,2023,342.56,70.65,56.2
CapitalOne Ventures,FINANCE,Q1,2023,389.4,93.43,61.65
Sterling Bank,FINANCE,Q1,2023,59.17,4.76,3.04
PrimeAsset Mgmt,FINANCE,Q1,2023,351.26,57.18,38.05
EquityPath Corp,FINANCE,Q1,2023,364.76,74.18,48.24
FundGrow Ltd,FINANCE,Q1,2023,323.26,64.52,40.93
SolarVast Inc,ENERGY,Q1,2023,418.69,101.72,64.33
GreenPower Corp,ENERGY,Q1,2023,61.56,6.92,5.56
OilField Partners,ENERGY,Q1,2023,481.18,62.23,50.69
WindHarvest Ltd,ENERGY,Q1,2023,84.2,15.84,12.48
FuelCore Group,ENERGY,Q1,2023,95.86,19.6,16.76
ShopNation Inc,RETAIL,Q1,2023,320.19,23.76,21.27
MarketPlace Corp,RETAIL,Q1,2023,402.19,48.04,35.0
TrendLine Retail,RETAIL,Q1,2023,216.76,32.77,23.02
ValueStore Ltd,RETAIL,Q1,2023,432.31,92.72,58.57
QuickBuy Group,RETAIL,Q1,2023,482.35,85.43,72.5
SteelBridge Corp,MANUFACTURING,Q1,2023,368.29,50.49,41.41
ProduceMaster Ltd,MANUFACTURING,Q1,2023,484.46,50.39,42.45
AutoParts Inc,MANUFACTURING,Q1,2023,292.18,42.86,31.32
BuildRight Group,MANUFACTURING,Q1,2023,378.96,39.29,33.61
PrecisionMfg,MANUFACTURING,Q1,2023,423.83,28.54,24.67
AquaCity Water,UTILITIES,Q1,2023,159.74,22.83,17.88
PowerGrid Corp,UTILITIES,Q1,2023,220.55,12.29,10.51
GasNet Utilities,UTILITIES,Q1,2023,131.83,12.18,10.22
CleanEnergy Ltd,UTILITIES,Q1,2023,203.15,45.92,37.21
CityServices Inc,UTILITIES,Q1,2023,174.32,9.07,8.02
Swift Logistics,TRANSPORTATION,Q2,2023,97.38,18.89,14.1
GlobalShip Co,TRANSPORTATION,Q2,2023,430.29,80.95,64.26
AirFreight Inc,TRANSPORTATION,Q2,2023,297.96,62.15,39.02
RailLink Corp,TRANSPORTATION,Q2,2023,164.69,31.02,21.46
OceanTrade Ltd,TRANSPORTATION,Q2,2023,342.87,49.6,37.66
NexaTech,TECHNOLOGY,Q2,2023,265.62,52.91,37.0
CloudPeak Systems,TECHNOLOGY,Q2,2023,402.91,41.98,28.35
DataBridge Corp,TECHNOLOGY,Q2,2023,114.72,10.15,6.45
InnoCode Ltd,TECHNOLOGY,Q2,2023,320.25,64.83,42.5
QuantumSoft,TECHNOLOGY,Q2,2023,162.11,23.8,19.45
MedCore Group,HEALTHCARE,Q2,2023,538.42,83.42,57.13
LifeSciences Ltd,HEALTHCARE,Q2,2023,104.76,9.31,6.22
BioTech Corp,HEALTHCARE,Q2,2023,143.82,7.6,5.78
PharmaNet Inc,HEALTHCARE,Q2,2023,190.78,46.71,35.78
HealthFirst,HEALTHCARE,Q2,2023,400.22,30.12,25.92
CapitalOne Ventures,FINANCE,Q2,2023,297.98,66.91,51.67
Sterling Bank,FINANCE,Q2,2023,287.35,39.68,26.0
PrimeAsset Mgmt,FINANCE,Q2,2023,80.43,19.16,14.24
EquityPath Corp,FINANCE,Q2,2023,461.95,60.12,37.41
FundGrow Ltd,FINANCE,Q2,2023,366.58,22.26,14.35
SolarVast Inc,ENERGY,Q2,2023,333.61,36.95,33.19
GreenPower Corp,ENERGY,Q2,2023,113.63,23.05,18.02
OilField Partners,ENERGY,Q2,2023,446.42,42.47,32.14
WindHarvest Ltd,ENERGY,Q2,2023,278.0,38.52,33.05
FuelCore Group,ENERGY,Q2,2023,545.07,60.54,47.6
ShopNation Inc,RETAIL,Q2,2023,356.77,70.65,62.47
MarketPlace Corp,RETAIL,Q2,2023,157.86,14.56,11.62
TrendLine Retail,RETAIL,Q2,2023,132.74,11.25,7.0
ValueStore Ltd,RETAIL,Q2,2023,56.32,7.89,6.14
QuickBuy Group,RETAIL,Q2,2023,199.17,19.18,15.58
SteelBridge Corp,MANUFACTURING,Q2,2023,402.98,56.74,45.74
ProduceMaster Ltd,MANUFACTURING,Q2,2023,512.34,106.34,83.74
AutoParts Inc,MANUFACTURING,Q2,2023,382.29,90.5,65.84
BuildRight Group,MANUFACTURING,Q2,2023,324.56,58.27,50.84
PrecisionMfg,MANUFACTURING,Q2,2023,464.18,29.84,19.39
AquaCity Water,UTILITIES,Q2,2023,207.27,41.41,31.92
PowerGrid Corp,UTILITIES,Q2,2023,197.86,14.81,11.95
GasNet Utilities,UTILITIES,Q2,2023,401.37,95.74,71.82
CleanEnergy Ltd,UTILITIES,Q2,2023,299.43,19.79,12.11
CityServices Inc,UTILITIES,Q2,2023,268.85,30.77,20.77
Swift Logistics,TRANSPORTATION,Q3,2023,91.1,22.08,18.79
GlobalShip Co,TRANSPORTATION,Q3,2023,308.84,74.17,66.74
AirFreight Inc,TRANSPORTATION,Q3,2023,352.53,36.63,22.42
RailLink Corp,TRANSPORTATION,Q3,2023,390.32,56.25,44.74
OceanTrade Ltd,TRANSPORTATION,Q3,2023,462.23,39.89,30.94
NexaTech,TECHNOLOGY,Q3,2023,335.65,49.79,31.24
CloudPeak Systems,TECHNOLOGY,Q3,2023,206.58,24.1,19.31
DataBridge Corp,TECHNOLOGY,Q3,2023,435.98,50.56,40.86
InnoCode Ltd,TECHNOLOGY,Q3,2023,179.7,42.96,36.26
QuantumSoft,TECHNOLOGY,Q3,2023,297.54,41.94,29.12
MedCore Group,HEALTHCARE,Q3,2023,195.47,47.7,34.4
LifeSciences Ltd,HEALTHCARE,Q3,2023,281.57,69.72,55.59
BioTech Corp,HEALTHCARE,Q3,2023,294.17,39.02,25.61
PharmaNet Inc,HEALTHCARE,Q3,2023,212.8,42.83,33.73
HealthFirst,HEALTHCARE,Q3,2023,392.0,35.56,27.2
CapitalOne Ventures,FINANCE,Q3,2023,467.45,64.33,52.07
Sterling Bank,FINANCE,Q3,2023,104.64,25.6,20.04
PrimeAsset Mgmt,FINANCE,Q3,2023,157.68,12.88,9.86
EquityPath Corp,FINANCE,Q3,2023,298.51,20.49,18.39
FundGrow Ltd,FINANCE,Q3,2023,460.82,65.57,41.65
SolarVast Inc,ENERGY,Q3,2023,424.46,63.53,51.78
GreenPower Corp,ENERGY,Q3,2023,278.99,29.21,24.84
OilField Partners,ENERGY,Q3,2023,491.11,48.5,37.12
WindHarvest Ltd,ENERGY,Q3,2023,222.61,52.17,39.26
FuelCore Group,ENERGY,Q3,2023,445.7,99.3,67.81
ShopNation Inc,RETAIL,Q3,2023,405.5,53.93,47.47
MarketPlace Corp,RETAIL,Q3,2023,278.48,59.63,40.84
TrendLine Retail,RETAIL,Q3,2023,184.35,30.86,27.76
ValueStore Ltd,RETAIL,Q3,2023,270.34,21.55,16.41
QuickBuy Group,RETAIL,Q3,2023,205.31,32.93,25.13
SteelBridge Corp,MANUFACTURING,Q3,2023,254.91,29.15,19.14
ProduceMaster Ltd,MANUFACTURING,Q3,2023,363.87,59.81,40.08
AutoParts Inc,MANUFACTURING,Q3,2023,399.0,23.43,19.29
BuildRight Group,MANUFACTURING,Q3,2023,367.35,77.98,55.82
PrecisionMfg,MANUFACTURING,Q3,2023,348.66,74.67,66.77
AquaCity Water,UTILITIES,Q3,2023,272.9,15.67,11.76
PowerGrid Corp,UTILITIES,Q3,2023,315.58,70.67,60.94
GasNet Utilities,UTILITIES,Q3,2023,248.14,38.51,28.38
CleanEnergy Ltd,UTILITIES,Q3,2023,375.1,49.51,39.43
CityServices Inc,UTILITIES,Q3,2023,119.46,17.19,15.31
Swift Logistics,TRANSPORTATION,Q4,2023,182.12,34.34,27.3
GlobalShip Co,TRANSPORTATION,Q4,2023,389.96,85.97,73.75
AirFreight Inc,TRANSPORTATION,Q4,2023,198.9,22.54,18.38
RailLink Corp,TRANSPORTATION,Q4,2023,352.56,79.14,48.34
OceanTrade Ltd,TRANSPORTATION,Q4,2023,72.71,12.81,11.23
NexaTech,TECHNOLOGY,Q4,2023,448.96,89.5,65.35
CloudPeak Systems,TECHNOLOGY,Q4,2023,84.87,15.0,12.93
DataBridge Corp,TECHNOLOGY,Q4,2023,224.69,42.42,36.95
InnoCode Ltd,TECHNOLOGY,Q4,2023,63.63,13.31,9.16
QuantumSoft,TECHNOLOGY,Q4,2023,196.81,15.57,11.82
MedCore Group,HEALTHCARE,Q4,2023,274.2,57.17,37.22
LifeSciences Ltd,HEALTHCARE,Q4,2023,76.98,17.26,13.56
BioTech Corp,HEALTHCARE,Q4,2023,142.54,33.15,21.31
PharmaNet Inc,HEALTHCARE,Q4,2023,231.77,23.36,15.81
HealthFirst,HEALTHCARE,Q4,2023,48.81,10.3,8.96
CapitalOne Ventures,FINANCE,Q4,2023,319.43,26.06,19.09
Sterling Bank,FINANCE,Q4,2023,184.95,30.98,24.53
PrimeAsset Mgmt,FINANCE,Q4,2023,216.85,21.69,18.51
EquityPath Corp,FINANCE,Q4,2023,125.68,15.95,11.88
FundGrow Ltd,FINANCE,Q4,2023,141.07,23.19,17.91
SolarVast Inc,ENERGY,Q4,2023,447.04,48.75,43.55
GreenPower Corp,ENERGY,Q4,2023,311.58,32.68,25.16
OilField Partners,ENERGY,Q4,2023,322.75,64.21,39.47
WindHarvest Ltd,ENERGY,Q4,2023,290.59,43.4,37.81
FuelCore Group,ENERGY,Q4,2023,160.91,33.75,26.4
ShopNation Inc,RETAIL,Q4,2023,187.69,33.28,26.17
MarketPlace Corp,RETAIL,Q4,2023,319.49,62.04,49.49
TrendLine Retail,RETAIL,Q4,2023,384.53,67.54,58.83
ValueStore Ltd,RETAIL,Q4,2023,306.77,34.29,25.11
QuickBuy Group,RETAIL,Q4,2023,279.73,54.96,34.46
SteelBridge Corp,MANUFACTURING,Q4,2023,164.52,32.82,21.42
ProduceMaster Ltd,MANUFACTURING,Q4,2023,98.52,15.55,13.86
AutoParts Inc,MANUFACTURING,Q4,2023,260.0,60.5,51.37
BuildRight Group,MANUFACTURING,Q4,2023,149.07,32.04,23.86
PrecisionMfg,MANUFACTURING,Q4,2023,371.63,74.07,51.97
AquaCity Water,UTILITIES,Q4,2023,91.64,22.23,14.28
PowerGrid Corp,UTILITIES,Q4,2023,436.43,96.9,79.19
GasNet Utilities,UTILITIES,Q4,2023,441.88,107.58,90.52
CleanEnergy Ltd,UTILITIES,Q4,2023,193.14,40.2,24.29
CityServices Inc,UTILITIES,Q4,2023,262.31,36.97,29.64
Swift Logistics,TRANSPORTATION,Q1,2024,352.55,58.84,49.82
GlobalShip Co,TRANSPORTATION,Q1,2024,473.13,33.91,22.72
AirFreight Inc,TRANSPORTATION,Q1,2024,61.26,13.9,10.68
RailLink Corp,TRANSPORTATION,Q1,2024,461.87,43.54,26.95
OceanTrade Ltd,TRANSPORTATION,Q1,2024,420.73,97.56,67.38
NexaTech,TECHNOLOGY,Q1,2024,233.73,18.22,16.1
CloudPeak Systems,TECHNOLOGY,Q1,2024,186.96,27.77,17.47
DataBridge Corp,TECHNOLOGY,Q1,2024,449.27,34.65,25.51
InnoCode Ltd,TECHNOLOGY,Q1,2024,351.72,69.86,61.74
QuantumSoft,TECHNOLOGY,Q1,2024,238.61,47.35,30.6
MedCore Group,HEALTHCARE,Q1,2024,236.7,16.52,12.34
LifeSciences Ltd,HEALTHCARE,Q1,2024,233.65,56.15,34.24
BioTech Corp,HEALTHCARE,Q1,2024,216.74,30.06,26.61
PharmaNet Inc,HEALTHCARE,Q1,2024,434.95,30.39,24.49
HealthFirst,HEALTHCARE,Q1,2024,295.01,72.45,51.27
CapitalOne Ventures,FINANCE,Q1,2024,229.16,20.16,12.83
Sterling Bank,FINANCE,Q1,2024,431.61,60.83,48.59
PrimeAsset Mgmt,FINANCE,Q1,2024,338.77,57.4,34.81
EquityPath Corp,FINANCE,Q1,2024,404.06,39.89,25.44
FundGrow Ltd,FINANCE,Q1,2024,304.06,19.38,16.08
SolarVast Inc,ENERGY,Q1,2024,143.22,13.35,11.49
GreenPower Corp,ENERGY,Q1,2024,197.85,15.73,13.69
OilField Partners,ENERGY,Q1,2024,51.28,11.37,7.32
WindHarvest Ltd,ENERGY,Q1,2024,108.5,10.86,7.08
FuelCore Group,ENERGY,Q1,2024,347.48,19.17,11.59
ShopNation Inc,RETAIL,Q1,2024,405.49,39.57,27.59
MarketPlace Corp,RETAIL,Q1,2024,128.41,7.77,6.39
TrendLine Retail,RETAIL,Q1,2024,286.74,57.1,42.42
ValueStore Ltd,RETAIL,Q1,2024,400.11,61.08,38.65
QuickBuy Group,RETAIL,Q1,2024,276.73,66.16,40.56
SteelBridge Corp,MANUFACTURING,Q1,2024,402.45,89.91,68.01
ProduceMaster Ltd,MANUFACTURING,Q1,2024,256.12,62.19,38.45
AutoParts Inc,MANUFACTURING,Q1,2024,265.54,34.61,27.89
BuildRight Group,MANUFACTURING,Q1,2024,270.62,62.77,39.05
PrecisionMfg,MANUFACTURING,Q1,2024,86.36,14.82,9.18
AquaCity Water,UTILITIES,Q1,2024,173.76,30.69,23.46
PowerGrid Corp,UTILITIES,Q1,2024,196.33,48.87,37.1
GasNet Utilities,UTILITIES,Q1,2024,254.17,43.48,27.38
CleanEnergy Ltd,UTILITIES,Q1,2024,365.8,80.68,64.16
CityServices Inc,UTILITIES,Q1,2024,396.03,76.9,51.1
Swift Logistics,TRANSPORTATION,Q2,2024,278.52,26.65,18.7
GlobalShip Co,TRANSPORTATION,Q2,2024,279.48,37.23,23.4
AirFreight Inc,TRANSPORTATION,Q2,2024,266.25,48.73,34.71
RailLink Corp,TRANSPORTATION,Q2,2024,130.56,30.63,18.99
OceanTrade Ltd,TRANSPORTATION,Q2,2024,466.73,32.04,20.15
NexaTech,TECHNOLOGY,Q2,2024,420.7,89.34,68.52
CloudPeak Systems,TECHNOLOGY,Q2,2024,345.3,56.05,39.17
DataBridge Corp,TECHNOLOGY,Q2,2024,115.5,13.94,11.15
InnoCode Ltd,TECHNOLOGY,Q2,2024,426.39,95.35,77.84
QuantumSoft,TECHNOLOGY,Q2,2024,534.36,90.89,64.12
MedCore Group,HEALTHCARE,Q2,2024,341.07,31.57,25.16
LifeSciences Ltd,HEALTHCARE,Q2,2024,166.0,11.89,10.15
BioTech Corp,HEALTHCARE,Q2,2024,236.94,47.99,37.06
PharmaNet Inc,HEALTHCARE,Q2,2024,454.57,99.56,88.84
HealthFirst,HEALTHCARE,Q2,2024,460.12,79.47,63.0
CapitalOne Ventures,FINANCE,Q2,2024,68.0,16.04,13.62
Sterling Bank,FINANCE,Q2,2024,187.39,16.13,13.08
PrimeAsset Mgmt,FINANCE,Q2,2024,207.95,24.53,14.76
EquityPath Corp,FINANCE,Q2,2024,485.58,79.28,57.1
FundGrow Ltd,FINANCE,Q2,2024,125.23,22.12,13.48
SolarVast Inc,ENERGY,Q2,2024,424.33,39.47,28.65
GreenPower Corp,ENERGY,Q2,2024,223.74,27.75,22.66
OilField Partners,ENERGY,Q2,2024,439.53,71.87,44.95
WindHarvest Ltd,ENERGY,Q2,2024,81.04,6.6,5.18
FuelCore Group,ENERGY,Q2,2024,388.61,40.58,32.41
ShopNation Inc,RETAIL,Q2,2024,295.4,40.89,27.88
